Date,Filename,Title,Download Url,Threat Actor,Victim Country,Zero-Day,Attack Vector,Malware,Target Sector
2014-01-13,targeted_attacks_against_the_energy_sector,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.13.Targeted_Attacks_Energy_Sector/targeted_attacks_against_the_energy_sector.pdf,Anonymous,Not mentioned,Not mentioned,"SpearPhishing, Watering Hole, Malicious Documents, Drive-by Download, Website Equipping.","Poison Ivy Trojan Backdoor.Darkmoon, Trojan droppers.","*   **Energy and utilities:** Energy sector, energy utility companies, oil and gas producers, power utilities companies
*   **Government and defense agencies:** Government/public sector, public sector
*   **Critical infrastructure:** Operators of critical infrastructure
*   **Financial institutions:** Financial services
*   **Corporations and Businesses:** IT service organizations"
2014-01-14,securelist.com-The Icefog APT Hits US Targets With Java Backdoor,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.14.Icefog_APT/securelist.com-The%20Icefog%20APT%20Hits%20US%20Targets%20With%20Java%20Backdoor.pdf,Icefog APT (also known as Dagger Panda),"South Korea, Japan, and the United States.",Not mentioned,Drive-by Download,"Icefog, Javafog, policyapplet.jar, update.jar, JavaTool.class.","Government and defense agencies, Corporations and Businesses, Energy and utilities."
2014-02-13,Operation_SnowMan,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.13_Operation_SnowMan/Operation_SnowMan.pdf,Not mentioned,Not mentioned,TRUE,"Watering Hole, Exploit Vulnerability, Drive-by Download","Microsoft.XMLDOM ActiveX control, ZxShell backdoor, Gh0stRat","Government and defense agencies, Corporations and Businesses, Non-Governmental Organizations (NGOs) and Nonprofits."
2014-02-20,Mo' Shells Mo' Problems - Network Detection,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.20.deep-panda-webshells/Mo%27%20Shells%20Mo%27%20Problems%20-%20Network%20Detection%20%C2%BB.pdf,Not mentioned,Not mentioned,Not mentioned.,"Exploit Vulnerability: SQL injection, remote file inclusion, directory enumeration.",Not mentioned,Corporations and Businesses
2014-02-20,deep-panda-webshells,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.20.deep-panda-webshells/deep-panda-webshells.pdf,Deep Panda,Not mentioned,Not mentioned,Not mentioned,"System_web.aspx, showimg.asp, ASP.NET","Government and defense agencies, Corporations and Businesses, Financial institutions"
2014-02-25,french-connection-french-aerospace-focused-cve-2014-0322-attack-shares-similarities-2012,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.25.The_French_Connection/french-connection-french-aerospace-focused-cve-2014-0322-attack-shares-similarities-2012.pdf,AURORA PANDA,"France, and potentially organizations in aerospace and defense sectors globally.",TRUE,"Watering Hole, Website Equipping, Exploit Vulnerability, Drive-by Download.",Sakula,Corporations and Businesses.
2014-03-07,snake_whitepaper,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.03.07.Snake_Campaign/snake_whitepaper.pdf,APT1,"Ukraine, Lithuania, Great Britain, Belgium, Georgia, United States, Romania, Hungary, Italy.",FALSE,Not mentioned,"Agent.BTZ, snake, uroburos, sengoku, snark",Government and defense agencies
2014-03-08,Reuters_Turla,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.03.08.Russian_spyware_Turla/Reuters_Turla.pdf,Turla,"Europe, United States, Ukraine, Lithuania, Great Britain, Finland, NATO nations, and Western governments.",Not mentioned,Not mentioned.,"Turla, Agent.BTZ, Red October, Uroburos, Snake, password stealers, tiny programs for gathering system information, and document stealers.","Government and defense agencies, Education and research institutions."
2014-04-26,Op_Clandestine_Fox,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.04.26.Operation_Clandestine_Fox/Op_Clandestine_Fox.pdf,Not mentioned,Not mentioned,TRUE,"Exploit Vulnerability, Drive-by Download.",Pirpi,Not mentioned
2014-05-13,CrowdStrike_Flying_Kitten,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.13.Flying.Kitten/CrowdStrike_Flying_Kitten.pdf,FLYING KITTEN,U.S.,Not mentioned.,"Phishing, Drive-by Download","Stealer malware, IntelRapidStart.exe","Government and defense agencies, Corporations and Businesses, Individuals."
2014-05-28,Iranian Hackers Targeted US Officials in Elaborate Social Media Attack Operation _ SecurityWeek,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.28.NewsCaster_An_Iranian_Threat_Within_Social_Networks/Iranian%20Hackers%20Targeted%20US%20Officials%20in%20Elaborate%20Social%20Media%20Attack%20Operation%20_%20SecurityWeek.pdf,NEWSCASTER,"US, Israel, U.K., Saudi Arabia, Iraq",Not mentioned,"SpearPhishing, Social Engineering",Not mentioned,"Government and defense agencies, Corporations and Businesses, Media and entertainment companies, Non-Governmental Organizations (NGOs) and Nonprofits, Individuals."
2014-05-28,newscaster-iranian-threat-inside-social-media,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.28.NewsCaster_An_Iranian_Threat_Within_Social_Networks/newscaster-iranian-threat-inside-social-media.pdf,Not mentioned,"U.S., Israel, UK, Saudi Arabia, and Iraq.",Not mentioned.,"SpearPhishing, Social Engineering",Not mentioned,"Government and defense agencies, Corporations and Businesses, Financial institutions, Energy and utilities, Critical infrastructure, Non-Governmental Organizations (NGOs) and Nonprofits, Individuals."
2014-06-06,ASERT-Threat-Intelligence-Brief-2014-07-Illuminating-Etumbot-APT,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.06.06.Etumbot_APT_Backdoor/ASERT-Threat-Intelligence-Brief-2014-07-Illuminating-Etumbot-APT.pdf,Numbered Panda,Taiwan and Japan.,Not mentioned,Not mentioned,"Etumbot, IXESHE, Exploz, Specfix",Not mentioned
2014-06-09,putter-panda,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.06.09.Putter_Panda/putter-panda.pdf,CPYY,"Europe, Japan, United States.",Not mentioned,"SpearPhishing, Malicious Documents","McUpdate.dll, custom malware",Not mentioned
2014-06-30,Dragonfly_Threat_Against_Western_Energy_Suppliers,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.06.30.Dragonfly/Dragonfly_Threat_Against_Western_Energy_Suppliers.pdf,Dragonfly,"US, UK, and other European countries.",Not mentioned,"Phishing (via spam campaign), Watering Hole","Backdoor.Oldrea, Trojan.Karagany, Lightsout exploit kit, Hello exploit kit.","Corporations and Businesses, Energy and utilities, Critical infrastructure."
2014-07-07,AdversaryIntelligenceReport_DeepPanda_0,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.07.Deep_in_Thought/AdversaryIntelligenceReport_DeepPanda_0.pdf,DEEP PANDA,US and Japan,Not mentioned,Not mentioned,"Dropper, Remote Access Tool (RAT), Derusbi Trojan, post exploitation tool, Microsoft .NET framework.","Government and defense agencies, Corporations and Businesses, Non-Governmental Organizations (NGOs) and Nonprofits, Energy and utilities, Manufacturing."
2014-07-07,Deep in Thought_ Chinese Targeting of National Security Think Tanks,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.07.Deep_in_Thought/Deep%20in%20Thought_%20Chinese%20Targeting%20of%20National%20Security%20Think%20Tanks%20%C2%BB.pdf,DEEP PANDA,"China/Asia Pacific, Southeast Asia, Iraq/Middle East",Not mentioned,Not mentioned,"MadHatter .NET Remote Access Tool (RAT), webshells, Cult of the Dead Cow’s NetE tool, 7-zip, RAR archiver (cftmon.exe), WMI, powershell scripts.","Government and defense agencies, Corporations and Businesses, Financial institutions, Non-Governmental Organizations (NGOs) and Nonprofits, Education and research institutions, Individuals."
2014-07-10,TrapX_ZOMBIE_Report_Final,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.10.Zombie_Zero/TrapX_ZOMBIE_Report_Final.pdf,Zombie Zero,Not mentioned,Not mentioned,Website Equipping,Zombie Zero,"Corporations and Businesses, Manufacturing"
2014-07-20,Sayad_Flying_Kitten_analysis,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.07.20.Flying_Kitten/Sayad_Flying_Kitten_analysis.pdf,Ajax Security Team,Not mentioned,Not mentioned,"Phishing, Social Engineering","Sayad malware, WEXTRACT.exe, Binder executable malware, DiagnosticsService.dll, .NET.",Not mentioned
2014-08-07,KL_Epic_Turla_Technical_Appendix_20140806,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.07.Epic_Turla_Operation_Appendix/KL_Epic_Turla_Technical_Appendix_20140806.pdf,Not mentioned,Not mentioned,FALSE,"SpearPhishing, Social Engineering, Watering Hole, Exploit Vulnerability, Malicious Documents, Drive-by Download.","Custom keylogger, dnsquery.exe, Epic, Tavdig, Turla Carbon, Pfinet, Java CVE-2012-1723 exploits, PDF exploits.",Government and defense agencies
2014-08-12,NYTimes_Attackers_Evolve_Quickly,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.12.New_York_Times_Attackers/NYTimes_Attackers_Evolve_Quickly.pdf,APT12 by Mandiant,"East Asia, Taiwan, United States.",Not mentioned,Drive-by Download for Aumlib; Not mentioned for Ixeshe.,"Aumlib, Ixeshe",Government and defense agencies
2014-08-18,KL_report_syrian_malware,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.18.Syrian_Malware_House_of_Cards/KL_report_syrian_malware.pdf,The Resistant Syrian Electronic Army,"Syria, Lebanon, Turkey, Kingdom of Saudi Arabia, Egypt, Jordan, Palestine, United Arab Emirates, Israel, Morocco, United States",Not mentioned,Social Engineering,"ShadowTech RAT, Xtreme RAT, NjRAT, Bitcomet RAT, Dark Comet RAT, Blackshades RAT",Individuals.
