Date,Filename,Title,Download Url,CVE,MITRE,YARA
2014-01-13,targeted_attacks_against_the_energy_sector,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.13.Targeted_Attacks_Energy_Sector/targeted_attacks_against_the_energy_sector.pdf,['CVE-2010-2568'],[],[]
2014-01-14,securelist.com-The Icefog APT Hits US Targets With Java Backdoor,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.14.Icefog_APT/securelist.com-The%20Icefog%20APT%20Hits%20US%20Targets%20With%20Java%20Backdoor.pdf,[],[],[]
2014-02-13,Operation_SnowMan,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.13_Operation_SnowMan/Operation_SnowMan.pdf,['CVE-2014-0322'],[],[]
2014-02-20,Mo' Shells Mo' Problems - Network Detection,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.20.deep-panda-webshells/Mo%27%20Shells%20Mo%27%20Problems%20-%20Network%20Detection%20%C2%BB.pdf,[],[],[]
2014-02-20,deep-panda-webshells,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.20.deep-panda-webshells/deep-panda-webshells.pdf,[],[],[]
2014-02-25,french-connection-french-aerospace-focused-cve-2014-0322-attack-shares-similarities-2012,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.25.The_French_Connection/french-connection-french-aerospace-focused-cve-2014-0322-attack-shares-similarities-2012.pdf,"['CVE-2012-4792', 'CVE-2014-0322']",[],[]
2014-03-07,snake_whitepaper,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.03.07.Snake_Campaign/snake_whitepaper.pdf,[],[],[]
2014-03-08,Reuters_Turla,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.03.08.Russian_spyware_Turla/Reuters_Turla.pdf,[],[],[]
2014-04-26,Op_Clandestine_Fox,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.04.26.Operation_Clandestine_Fox/Op_Clandestine_Fox.pdf,"['CVE-2014-1776', 'CVE-2010-3962']",[],[]
2014-05-13,CrowdStrike_Flying_Kitten,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.05.13.Flying.Kitten/CrowdStrike_Flying_Kitten.pdf,[],[],"['rule CrowdStrike_CSIT_14003_03 : installer \n{ \n       meta: \n             copyright = ""CrowdStrike, Inc"" \n             description = ""Flying Kitten Installer"" \n             version = ""1.0"" \n             actor = ""FLYING KITTEN"" \n             in_the_wild = true \n       strings: \n             $exename = ""IntelRapidStart.exe"" \n             $confname = ""IntelRapidStart.exe.config"" \n             $cabhdr = { 4d 53 43 46 00 00 00 00 } \n       condition: \n             all of them \n}', 'rule CrowdStrike_FlyingKitten : rat\n{\nmeta: \n            copyright = ""CrowdStrike, Inc"" \n             description = ""Flying Kitten RAT"" \n             version = ""1.0"" \n             actor = ""FLYING KITTEN"" \n             in_the_wild = true \n       strings: \n             $classpath = ""Stealer.Properties.Resources.resources"" \n             $pdbstr = ""\\Stealer\\obj\\x86\\Release\\Stealer.pdb"" \n       condition: \n             all of them and \n             uint16(0) == 0x5A4D and uint32(uint32(0x3c)) == 0x4550 and \n             uint16(uint32(0x3C) + 0x16) & 0x2000 == 0 and \n             ((uint16(uint32(0x3c)+24) == 0x010b and \n            uint32(uint32(0x3c)+232) > 0) or \n             (uint16(uint32(0x3c)+24) == 0x020b and \n            uint32(uint32(0x3c)+248) > 0)) \n}']"
